0000888445-0001-1,JACK IN THE BOX INC,JACK IN THE BOX #321,9018 WOODMAN AVENUE,ARLETA,9018 WOODMAN 91331-6403,9330 BALBOA AVENUE,SAN DIEGO,92123-1516,722110,Full-service restaurants,6,11/01/1970,,"(34.2333, -118.4389)"
0000124345-0001-8,GOLD MEDAL INC,GOLD MEDAL LCHINESE FOOD,1600 W 6TH STREET,LOS ANGELES,1600 6TH 90017-1002,767 N HILL STREET #210,LOS ANGELES,90012-2365,722110,Full-service restaurants,1,01/07/2004,,"(34.0568, -118.2688)"
0002531610-0001-4,SAID R SAID ZADAH,S. GYRO & KABOB HOUSE,7221 TAMPA AVENUE,RESEDA,7221 TAMPA 91335-3554,,,,722110,Full-service restaurants,3,11/28/2010,,"(34.2015, -118.5535)"
0000809648-0001-8,JOSE L QUEZADA,RESTAURANTE EL CHAPULIN,608 E 59TH STREET,LOS ANGELES,608 59TH 90001-1002,9219 BANDERA STREET,LOS ANGELES,90002-2414,722110,Full-service restaurants,9,03/01/2003,,"(33.9871, -118.2649)"
0000965276-0001-1,C B S SEAFOOD RESTAURANT LLC,C B S SEAFOOD RESTAURANT,700 N SPRING STREET,LOS ANGELES,700 SPRING 90012-2824,,,,722110,Full-service restaurants,1,06/15/1999,,"(34.0598, -118.2378)"
0002507735-0001-7,FANN CHAU,SL DONUTS,4411 S MAIN STREET,LOS ANGELES,4411 MAIN 90037-2731,,,,722110,Full-service restaurants,9,05/01/2010,,"(34.0037, -118.2739)"
0000010601-0001-9,EL ARCO IRIS RESTAURANT LLC,,5684 YORK BLVD,LOS ANGELES,5684 YORK 90042-2551,,,,722110,Full-service restaurants,14,10/01/1999,,"(34.1189, -118.1942)"
0002715371-0001-3,OISHI LLC,,8215 DE SOTO AVENUE,CANOGA PARK,8215 DE SOTO 91304-4343,,,,722110,Full-service restaurants,3,06/01/2013,,"(34.2188, -118.5885)"
0000139813-0001-1,SUPAWAN CHEWINSIRIWAT,SIAM CABIN RESTAURANT,13548 VENTURA BLVD,SHERMAN OAKS,13548 VENTURA 91423-3826,,,,722110,Full-service restaurants,4,09/16/2004,,"(34.1476, -118.4287)"
0000031488-0001-3,MARTIN AGUSTIN,FIDDLER'S RESTAURANT,12721 GLENOAKS BLVD,SYLMAR,12721 GLENOAKS 91342-4749,,,,722110,Full-service restaurants,7,05/10/2003,,"(34.3013, -118.4415)"
0000726934-0001-6,SIMON BENARROCH,ABBA'S ON LA BREA | L A GLATT KOSHER CATERING,129 N LA BREA AVENUE,LOS ANGELES,129 LA BREA 90036-2911,129 N LA BREA AVENUE,LOS ANGELES,90036-2911,722110,Full-service restaurants,5,08/13/1989,,"(34.0742, -118.344)"
